char_id,char_hanzi,pinyin,meaning,hsk_level
47,事,shì,"affair, matter, business; to serve; accident, incident",1
48,方,fāng,"a square, rectangle; a region; local",1
49,多,duō,"much, many; more than, over",1
50,么,me,interrogative particle; repetition of a tune small; tender,1
51,去,qù,"go away, leave, depart",1
52,学,xué,"learning, knowledge; school",1
53,都,dōu,"metropolis, capital; all, the whole; elegant, refined",1
54,同,tóng,"same, similar; together with",1
55,现,xiàn,"appear, manifest, become visible",1
56,没,méi,"not, have not, none; drown, sink",1
57,动,dòng,"move, happen; movement, action",1
58,面,miàn,"face; surface; plane; side, dimension",1
59,起,qǐ,"rise, stand up; go up; begin",1
60,看,kàn,"look, see; examine, scrutinize",1
61,天,tiān,"sky, heaven; god, celestial",1
62,分,fēn,divide; small unit of time etc.,1
63,还,hái,"still, yet, also, besides",1
64,进,jìn,"advance, make progress, enter",1
65,好,hǎo,"good, excellent, fine; well",1
66,小,xiǎo,"small, tiny, insignificant",1
67,些,xiē,"little, few; rather, somewhat",1
68,样,yàng,"shape, form, pattern, style",1
69,她,tā,"she, her",1
70,本,běn,"root, origin, source; basis",1
71,前,qián,"in front, forward; preceding",1
72,开,kāi,"open; initiate, begin, start",1
73,从,cóng,"from, by, since, whence, through",1
74,想,xiǎng,"think, speculate, plan, consider",1
75,日,rì,sun; day; daytime,1
76,机,jī,desk; machine; moment,1
77,十,shí,"ten, tenth; complete; perfect",1
78,第,dì,"sequence, number; grade, degree",1
79,工,gōng,"labor, work; worker, laborer",1
80,明,míng,"bright, light, brilliant; clear",1
81,知,zhī,"know, perceive, comprehend",1
82,三,sān,three,1
83,关,guān,frontier pass; close; relation,1
84,点,diǎn,"dot, speck, spot; point, degree",1
85,正,zhèng,"right, proper, correct",1
86,外,wài,"out, outside, external; foreign",1
87,两,liǎng,"two, both, pair, couple; ounce",1
88,高,gāo,"high, tall; lofty, elevated",1
89,间,jiān,"midpoint, space; place, locality",1
90,问,wèn,"ask about, inquire after",1
91,很,hěn,"very, quite, much",1
92,最,zuì,"most, extremely, exceedingly",1
93,重,zhòng,"heavy, weighty; double",1
94,手,shǒu,hand,1
95,文,wén,"literature, culture, writing",1
96,体,tǐ,"body; group, class, body, unit; inferior",1
97,见,jiàn,"see, observe, behold; perceive",1
98,什,shén,"file of ten soldiers; mixed, miscellaneous",1
99,二,èr,two; twice,1
100,等,děng,"class, rank, grade, equal to, same as, to wait for",1
101,新,xīn,"new, recent, fresh, modern",1
102,身,shēn,"body; trunk, hull; rad. no. 158",1
103,果,guǒ,fruit; result,1
104,西,xī,"west(ern); westward, occident",1
105,月,yuè,moon; month; KangXi radical 74,1
106,话,huà,"speech, talk, language; dialect",1
107,回,huí,"return, turn around; a time",1
108,老,lǎo,"old, aged; experienced",1
109,给,gěi,"give; by, for",1
110,次,cì,"order, sequence; next",1
111,门,mén,"gate, door, entrance, opening",1
112,常,cháng,"common, normal, frequent, regular",1
113,先,xiān,"first, former, previous",1
114,教,jiào,"teach, class",1
115,儿,ér,"son, child; KangXi radical 10",1
116,东,dōng,"east, eastern, eastward",1
117,比,bǐ,"to compare, liken; comparison; than",1
118,水,shuǐ,"water, liquid, lotion, juice",1
119,名,míng,"name, rank, title, position",1
120,真,zhēn,"real, actual, true, genuine",1
121,走,zǒu,"walk, go on foot; run; leave",1
122,几,jǐ,small table,1
123,口,kǒu,"mouth; open end; entrance, gate",1
124,认,rèn,"recognize, know, understand",1
125,条,tiáo,"clause, condition; string, stripe",1
126,系,xì,"system; line, link, connection",1
127,气,qì,"steam, vapor; KangXi radical 84",1
128,别,bié,"separate, other; do not",1
129,打,dǎ,"strike, hit, beat; fight; attack",1
130,女,nǚ,"woman, girl; feminine; rad. 38",1
131,四,sì,four,1
132,电,diàn,electricity; electric; lightning,1
133,少,shǎo,"few, less, inadequate",1
134,太,tài,"very, too, much; big; extreme",1
135,再,zài,"again, twice, re-",1
136,做,zuò,"work, make; act",1
137,场,chǎng,"open space, field, market",1
138,期,qī,period of time; date; time limit,1
139,山,shān,"mountain, hill, peak",1
140,马,mǎ,horse; surname; KangXi radical 187,1
141,五,wǔ,five; surname,1
142,书,shū,"book, letter, document; writings",1
143,非,fēi,"not, negative, non-; oppose",1
144,听,tīng,"hear; understand; obey, comply",1
145,白,bái,"white; pure, unblemished; bright",1
146,放,fàng,"put, release, free, liberate",1
147,难,nán,"difficult, arduous, hard; unable",1
148,路,lù,"road, path, street; journey",1
149,记,jì,"record; keep in mind, remember",1
150,南,nán,south; southern part; southward,1
151,住,zhù,"reside, live at, dwell, lodge; stop",1
152,告,gào,"tell, announce, inform; accuse",1
153,北,běi,north; northern; northward,1
154,边,biān,"edge, margin, side, border",1
155,觉,jué,to wake up from sleep; conscious,1
156,师,shī,"teacher, master, specialist",1
157,今,jīn,"now, today, modern era",1
158,院,yuàn,"courtyard, yard, court; school",1
159,识,shí,"recognize, understand, know",1
160,候,hòu,wait; expect; visit; greet,1
161,笑,xiào,"smile, laugh, giggle; snicker",1
162,飞,fēi,fly; go quickly; dart; high,1
163,风,fēng,"wind; air; manners, atmosphere",1
164,干,gàn,"oppose, offend; invade; dried",1
165,车,chē,"cart, vehicle; carry in cart",1
166,服,fú,"clothes; wear, dress",1
167,快,kuài,"rapid, quick, speedy, fast; soon",1
168,元,yuán,first; dollar; origin; head,1
169,准,zhǔn,"approve, allow, permit; in accord",1
170,怎,zěn,what? why? how?,1
171,呢,ne,interrogative or emphatic final; (Cant.) this,1
172,远,yuǎn,"distant, remote, far; profound",1
173,叫,jiào,"cry, shout; hail, greet, call",1
174,影,yǐng,"shadow; image, reflection; photograph",1
175,字,zì,"letter, character, word",1
176,爱,ài,"love, be fond of, like",1
177,备,bèi,"prepare, ready, perfect",1
178,商,shāng,"commerce, business, trade",1
179,百,bǎi,"one hundred; numerous, many",1
180,花,huā,flower; blossoms,1
181,请,qǐng,"ask, request; invite; please",1
182,病,bìng,"illness, sickness, disease",1
183,息,xī,"rest, put stop to, end, cease",1
184,火,huǒ,"fire, flame; burn; anger, rage",1
185,视,shì,"look at, inspect, observe, see",1
186,九,jiǔ,nine,1
187,写,xiě,"write; draw, sketch; compose",1
188,八,bā,"eight; all around, all sides",1
189,吗,ma,final interrogative particle,1
190,包,bāo,"wrap, pack, bundle; package",1
191,早,zǎo,early; soon; morning,1
192,找,zhǎo,"search, seek, look for; find",1
193,吧,ba,emphatic final particle,1
194,吃,chī,"eat; drink; suffer, endure, bear",1
195,图,tú,"diagram; chart, map, picture",1
196,六,liù,number six,1
197,医,yī,"cure, heal; doctor, medical",1
198,号,hào,"mark, sign; symbol; number",1
199,语,yǔ,"language, words; saying, expression",1
200,考,kǎo,"examine, test; investigate",1
201,房,fáng,"house, building; room",1
202,半,bàn,half,1
203,七,qī,seven,1
204,兴,xìng,"thrive, prosper, flourish",1
205,孩,hái,"baby, child; children",1
206,星,xīng,"a star, planet; any point of light",1
207,跟,gēn,"heel; to follow, accompany; with",1
208,站,zhàn,"stand up; a stand, station",1
209,答,dá,"answer, reply; return; assent to",1
210,京,jīng,capital city,1
211,米,mǐ,hulled or husked uncooked rice,1
212,客,kè,"guest, traveller; customer",1
213,友,yǒu,"friend, companion; fraternity",1
214,诉,sù,accuse; sue; inform; narrate,1
215,男,nán,"male, man; son; baron; surname",1
216,钱,qián,"money, currency, coins",1
217,网,wǎng,net; network; KangXi radical 122,1
218,热,rè,hot; heat; fever; restless; zeal,1
219,坐,zuò,"sit; seat; ride, travel by",1
220,毛,máo,"hair, fur, feathers; coarse",1
221,球,qiú,"ball, sphere, globe; round",1
222,校,xiào,school; military field officer,1
223,假,jiǎ,"falsehood, deception; vacation",1
224,错,cuò,"error, blunder, mistake; wrong",1
225,晚,wǎn,"night, evening; late",1
226,试,shì,"test, try, experiment",1
227,拿,ná,"take, hold, grasp; bring; with",1
228,脑,nǎo,brain,1
229,谁,shuí,who? whom? whose? anyone?,1
230,哪,nǎ,which? where? how?,1
231,送,sòng,"see off, send off; dispatch, give",1
232,喜,xǐ,"like, love, enjoy; joyful thing",1
233,习,xí,practice; flapping wings,1
234,欢,huān,"happy, pleased, glad; joy; enjoy",1
235,树,shù,"tree; plant; set up, establish",1
236,冷,lěng,"cold, cool; lonely",1
237,汉,hàn,Chinese people; Chinese language,1
238,衣,yī,"clothes, clothing; cover, skin",1
239,您,nín,"you (courteous, as opposed to informal 你)",1
240,差,chà,"to differ; different, wrong; nearly, almost; an officer",1
241,妈,mā,"mother, mama",1
242,读,dú,"read, study; pronounce",1
243,买,mǎi,"buy, purchase; bribe, persuade",1
244,帮,bāng,"help, assist; defend; shoe upper",1
245,岁,suì,year; age; harvest,1
246,左,zuǒ,"left; east; unorthodox, improper",1
247,右,yòu,right; west; right-wing,1
248,穿,chuān,"penetrate, pierce, drill; wear",1
249,块,kuài,"piece, lump; dollar",1
250,哥,gē,elder brother,1
251,弟,dì,"young brother; junior; i, me",1
252,慢,màn,"slow(ly), leisurely, sluggish",1
253,忙,máng,"busy, pressed for time; hustling",1
254,姐,jiě,"elder sister, young lady",1
255,介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",1
256,坏,huài,"rotten, spoilt, bad, broken down",1
257,跑,pǎo,"run, flee, leave in hurry",1
258,贵,guì,"expensive, costly, valuable",1
259,楼,lóu,building of two or more stories,1
260,朋,péng,"friend, pal, acquaintance",1
261,班,bān,"class, group, grade; squad; job",1
262,谢,xiè,thank; decline,1
263,票,piào,slip of paper or bamboo; ticket,1
264,雨,yǔ,rain; rainy; KangXi radical 173,1
265,饭,fàn,"cooked rice; food, meal",1
266,睡,shuì,"sleep, doze",1
267,旁,páng,"side; by side, close by, near",1
268,喝,hē,"drink; shout, call out",1
269,午,wǔ,noon; 7th terrestrial branch,1
270,爷,yé,"father, grandfather",1
271,肉,ròu,flesh; meat; KangXi radical 130,1
272,馆,guǎn,public building,1
273,牛,niú,"cow, ox, bull; KangXi radical93",1
274,歌,gē,"song, lyrics; sing, chant; praise",1
275,店,diàn,"shop, store; inn, hotel",1
276,爸,bà,"father, papa",1
277,忘,wàng,"forget; neglect; miss, omit",1
278,床,chuáng,"bed, couch; framework, chassis",1
279,玩,wán,"play with, joke, enjoy",1
280,休,xiū,"rest, stop; retire; do not!",1
281,页,yè,"page, sheet, leaf; rad. no. 181",1
282,妹,mèi,younger sister,1
283,桌,zhuō,"table, desk, stand",1
284,汽,qì,"steam, vapor, gas",1
285,课,kè,lesson; course; classwork,1
286,绍,shào,"continue, carry on; join",1
287,洗,xǐ,"wash, rinse; clean, purify",1
288,唱,chàng,"sing, chant, call; ditty, song",1
289,菜,cài,"vegetables; dish, order; food",1
290,茶,chá,tea,1
291,奶,nǎi,breast; milk; to breastfeed; mother,1
292,累,lèi,"tired; implicate, involve; bother",1
293,零,líng,"zero; fragment, fraction",1
294,净,jìng,"clean, pure; cleanse",1
295,蛋,dàn,eggs; term of abuse,1
296,鸡,jī,chicken,1
297,杯,bēi,"cup, glass",1
298,昨,zuó,"yesterday; in former times, past",1
299,饿,è,hungry; greedy for; hunger,1
300,渴,kě,"thirsty, parched; yearn, pine",1
301,为,wèi,"do, handle, govern, act; be",2
302,以,yǐ,"by means of; thereby, therefore; consider as; in order to",2
303,可,kě,"may, can, -able; possibly",2
304,而,ér,and; and then; and yet; but,2
305,于,yú,"in, on, at; go to; surname",2
306,自,zì,"self, private, personal; from",2
307,发,fā,"issue, dispatch, send out; hair",2
308,所,suǒ,"place, location; numerary adjunct",2
309,然,rán,"yes, certainly; pledge, promise",2
310,成,chéng,"completed, finished, fixed",2
311,经,jīng,classic works; pass through,2
312,法,fǎ,"law, rule, regulation, statute; France, French",2
313,如,rú,"if, supposing; as if; like, as",2
314,当,dāng,"bear, accept, undertake; just",2
315,定,dìng,"decide, settle, fix",2
316,部,bù,"part, division, section",2
317,其,qí,"his, her, its, their; that",2
318,主,zhǔ,"master, chief owner; host; lord",2
319,理,lǐ,"reason, logic; manage",2
320,心,xīn,"heart; mind, intelligence; soul",2
321,但,dàn,"only; but, however, yet, still",2
322,因,yīn,"cause, reason; by; because (of)",2
323,只,zhǐ,"only, just, simply",2
324,实,shí,"real, true; honest, sincere",2
325,者,zhě,that which; he who; those who,2
326,意,yì,"thought, idea, opinion; think",2
327,力,lì,"power, capability, influence",2
328,它,tā,it; other,2
329,长,zhǎng,long; length; excel in; leader,2
330,公,gōng,"fair, equitable; public; duke",2
331,已,yǐ,already; finished; stop,2
332,使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",2
333,情,qíng,"feeling, sentiment, emotion",2
334,全,quán,"maintain, keep whole or intact",2
335,又,yòu,"and, also, again, in addition",2
336,业,yè,"profession, business; GB radical 111",2
337,由,yóu,"cause, reason; from",2
338,物,wù,"thing, substance, creature",2
339,应,yīng,"should, ought to, must",2
340,向,xiàng,"toward, direction, trend",2
341,头,tóu,"head; top; chief, first; boss",2
342,相,xiāng,"mutual, reciprocal, each other",2
343,利,lì,"gains, advantage, profit, merit",2
344,或,huò,"or, either, else; perhaps, maybe",2
345,己,jǐ,"self, oneself; personal, private; 6th heavenly stem",2
346,加,jiā,"add to, increase, augment",2
347,合,hé,"combine, unite, join; gather",2
348,特,tè,"special, unique, distinguished",2
349,信,xìn,"trust, believe; letter",2
350,表,biǎo,"show, express, manifest, display",2
351,位,wèi,"throne; position, post; rank, status; seat",2
352,度,dù,"degree, system; manner; to consider",2
353,海,hǎi,"sea, ocean; maritime",2
354,通,tōng,"pass through, common, communicate",2
355,原,yuán,"source, origin, beginning",2
356,声,shēng,"sound, voice, noise; tone; music",2
357,提,tí,hold in hand; lift in hand,2
358,论,lùn,debate; discuss; discourse,2
359,处,chù,"place, locale; department",2
360,入,rù,"enter, come in(to), join",2
361,平,píng,"flat, level, even; peaceful",2
362,题,tí,"forehead; title, headline; theme",2
363,活,huó,"live, exist, survive; lively",2
364,更,gèng,"more, still further, much more",2
365,变,biàn,"change, transform, alter; rebel",2
366,数,shù,"number; several, count; fate",2
367,安,ān,"peaceful, tranquil, quiet",2
368,报,bào,"report, tell, announce",2
369,才,cái,"talent, ability; just, only",2
370,结,jié,"knot, tie; join, connect",2
371,受,shòu,"receive, accept, get; bear, stand",2
372,目,mù,"eye; look, see; division, topic",2
373,量,liàng,"measure, quantity, capacity",2
374,感,gǎn,"feel, perceive, emotion",2
375,务,wù,"affairs, business; must, should",2
376,接,jiē,receive; continue; catch; connect,2
377,必,bì,"surely, most certainly; must",2
378,件,jiàn,numerary adjunct for article; matter,2
379,计,jì,"plan, plot; strategem; scheme",2
380,市,shì,"market, fair; city, town; trade",2
381,直,zhí,"straight, erect, vertical",2
382,克,kè,gram; overcome; transliteration,2
383,许,xǔ,"allow, permit; promise; betroth",2
384,队,duì,"team, group; army unit",2
385,便,biàn,"convenience, ease; expedient",2
386,空,kōng,"empty, hollow, bare, deserted",2
387,科,kē,"section, department, science",2
388,司,sī,"take charge of, control, manage; officer",2
389,眼,yǎn,"eye; eyelet, hole, opening",2
390,像,xiàng,"a picture, image, figure; to resemble",2
391,且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",2
392,思,sī,"think, consider, ponder; final particle",2
393,王,wáng,"king, ruler; royal; surname",2
394,完,wán,"complete, finish, settle; whole",2
395,色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",2
396,求,qiú,"seek; demand, request; beseech",2
397,该,gāi,"should, ought to, need to",2
398,交,jiāo,"mix; intersect; exchange, communicate; deliver",2
399,万,wàn,ten thousand; innumerable,2
400,取,qǔ,"take, receive, obtain; select",2
401,拉,lā,"pull, drag; seize, hold; lengthen",2
402,共,gòng,"together with, all, total; to share",2
403,确,què,"sure, certain; real, true",2
404,观,guān,"see, observe, view; appearance",2
405,清,qīng,"clear, pure, clean; peaceful",2
406,让,ràng,"allow, permit, yield, concede",2
407,带,dài,"belt, girdle, band, strap, zone",2
408,运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",2
409,改,gǎi,"change, alter; improve, remodel",2
410,收,shōu,"gather together, collect; harvest",2
411,言,yán,"words, speech; speak, say",2
412,组,zǔ,"class; section, department",2
413,办,bàn,"manage, do, handle; deal with",2
414,往,wǎng,"go, depart; past, formerly",2
415,英,yīng,"petal, flower, leaf; brave, a hero; England, English",2
416,近,jìn,"near, close; approach; intimate",2
417,单,dān,"single, individual, only; lone",2
418,流,liú,"flow, circulate, drift; class",2
419,算,suàn,"count, calculate, figure; plan",2
420,级,jí,"level, rank, class; grade",2
421,离,lí,rare beast; strange; elegant,2
422,际,jì,"border, boundary, juncture",2
423,示,shì,"show, manifest; demonstrate",2
424,复,fù,return; repeat; repeatedly,2
425,满,mǎn,"fill; full, satisfied",2
426,越,yuè,"exceed, go beyond; the more ...",2
427,照,zhào,"shine, illumine, reflect",2
428,须,xū,"must, have to, necessary",2
429,称,chēng,"call; name, brand; address; say",2
430,片,piàn,"slice, splinter, strip; rad. 91",2
431,查,chá,"investigate, examine, seek into",2
432,轻,qīng,"light; easy, simple; gentle",2
433,装,zhuāng,"dress, clothes, attire; fill",2
434,广,guǎng,"wide, extensive, broad; rad. 53",2
435,周,zhōu,Zhou dynasty; circumference,2
436,青,qīng,"blue, green, black; young",2
437,随,suí,"follow, listen to, submit to",2
438,选,xuǎn,"choose, select; elect; election",2
439,红,hóng,"red, vermillion; blush, flush",2
440,响,xiǎng,"make sound, make noise; sound",2
441,虽,suī,"although, even if",2
442,推,tuī,"push, expel; push forward",2
443,参,cān,"take part in, intervene; ginseng",2
444,节,jié,"knot, node, joint; section",2
445,黑,hēi,"black; dark; evil, sinister",2
446,划,huà,to row or paddle boat; to scratch,2
447,态,tài,"manner, bearing, attitude",2
448,护,hù,"protect, guard, defend, shelter",2
449,够,gòu,"enough, adequate",2
450,音,yīn,"sound, tone, pitch, pronunciation",2
451,例,lì,"precedent, example; regulation",2
452,留,liú,"stop, halt; stay, detain, keep",2
453,讲,jiǎng,explain; discuss; talk,2
454,黄,huáng,yellow; surname,2
455,段,duàn,"section, piece, division",2
456,故,gù,"ancient, old; reason, because",2
457,河,hé,river; stream; yellow river,2
458,举,jǔ,"raise, lift up; recommend",2
459,低,dī,"low; to lower, hang, bend, bow",2
460,愿,yuàn,"sincere, honest, virtuous",2
461,千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",2
462,助,zhù,"help, aid, assist",2
463,倒,dào,fall over; lie down; take turns,2
464,育,yù,"produce, give birth to; educate",2
465,船,chuán,"ship, boat, vessel",2
466,脸,liǎn,face; cheek; reputation,2
467,刻,kè,"carve, engrave; quarter hour",2
468,乐,lè,"happy, glad; enjoyable; music",2
469,刚,gāng,"hard, tough, rigid, strong",2
470,般,bān,"sort, manner, kind, category",2
471,普,pǔ,"universal, general, widespread",2
472,怕,pà,"to fear, be afraid of; apprehensive",2
473,久,jiǔ,"long time (ago); time passage, grow late",2
474,印,yìn,"print, seal, stamp, chop, mark",2
475,阳,yáng,positive (electric.); sun; male principle (Taoism),2
476,急,jí,"quick, quickly; urgent, pressing",2
477,药,yào,leaf of Dahurian angelica plant; medicine,2
478,适,shì,"go, reach; appropriate, suitable",2
479,夜,yè,"night, dark; in night; by night",2
480,省,shěng,"province; save, economize",2
481,食,shí,eat; meal; food; KangXi radical number 184,2
482,排,pái,"row, rank, line",2
483,云,yún,"say, speak; clouds",2
484,停,tíng,"stop, suspend, delay; suitable",2
485,游,yóu,"to swim; float, drift; wander, roam",2
486,层,céng,"storey, layer, floor, stratum",2
487,句,jù,sentence,2
488,室,shì,"room, home, house, chamber",2
489,卡,kǎ,"card, punch card; calorie",2
490,静,jìng,"quiet, still, motionless; gentle",2
491,检,jiǎn,check; examine,2
492,角,jiǎo,"horn; angle, corner; point",2
493,占,zhàn,divine; observe; versify,2
494,啊,a,exclamatory particle,2
495,超,chāo,"jump over, leap over; surpass",2
496,银,yín,"silver; cash, money, wealth",2
497,养,yǎng,"raise, rear, bring up; support",2
498,铁,tiě,"iron; strong, solid, firm",2
499,份,fèn,"portion, part; duty",2
500,背,bèi,back; back side; behind; betray,2
501,草,cǎo,"grass, straw, thatch, herbs",2
502,脚,jiǎo,"leg, foot; base, leg, foundation",2
503,酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",2
504,靠,kào,"lean on, trust, depend on; near",2
505,座,zuò,"seat; stand, base",2
506,顾,gù,look back; look at; look after,2
507,换,huàn,change,2
508,闻,wén,hear; smell; make known; news,2
509,讨,tǎo,"to discuss; ask for, beg; demand; dun; marry",2
510,亮,liàng,"bright, brilliant, radiant, light",2
511,永,yǒng,"long, perpetual, eternal, forever",2
512,味,wèi,"taste, smell, odor; delicacy",2
513,掉,diào,"turn, move; shake, wag; drop down",2
514,鱼,yú,fish; surname; KangXi radical 195,2
515,楚,chǔ,name of feudal state; clear,2
516,温,wēn,lukewarm,2
517,封,fēng,"letter, envelope; feudal",2
518,画,huà,"a painting, picture, drawing; to draw",2
519,短,duǎn,"short; brief; deficient, lacking",2
520,康,kāng,"peaceful, quiet; happy, healthy",2
521,钟,zhōng,clock; bell,2
522,忽,hū,"suddenly, abruptly; neglect",2
523,湖,hú,"a lake; Hubei, Hunan; bluish-green",2
524,春,chūn,spring; wanton,2
525,礼,lǐ,social custom; manners; courtesy,2
526,板,bǎn,"plank, board; iron or tin plate",2
527,庭,tíng,courtyard; spacious hall or yard,2
528,睛,jīng,eyeball; pupil of eye,2
529,顺,shùn,"obey, submit to, go along with",2
530,油,yóu,"oil, fat, grease, lard; paints",2
531,旅,lǚ,"trip, journey; travel; traveler",2
532,笔,bǐ,writing brush; write; stroke,2
533,词,cí,"words; phrase, expression",2
534,卖,mài,sell; betray; show off,2
535,健,jiàn,"strong, robust, healthy; strength",2
536,堂,táng,hall; government office,2
537,借,jiè,borrow; lend; make pretext of,2
538,阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.),2
539,园,yuán,"garden; park, orchard",2
540,雪,xuě,"snow; wipe away shame, avenge",2
541,练,liàn,"to practice, drill, exercise, train",2
542,篇,piān,"chapter, section, essay, article",2
543,嘴,zuǐ,"mouth, lips",2
544,遍,biàn,"everywhere, all over, throughout",2
545,纸,zhǐ,paper,2
546,熟,shú,well-cooked; ripe; familiar with,2
547,典,diǎn,"law, canon; documentation; classic, scripture",2
548,弄,nòng,"do, play or fiddle with; alley",2
549,亿,yì,hundred million; many,2
550,迎,yíng,"receive, welcome, greet",2
551,努,nǔ,"to exert, strive, make an effort; to pout",2
552,绿,lǜ,green; chlorine,2
553,套,tào,"case, cover, wrapper, envelope",2
554,街,jiē,"street, road, thoroughfare",2
555,灯,dēng,"lantern, lamp",2
556,夏,xià,"summer; great, grand, big",2
557,姓,xìng,"family name, surname; to be surnamed",2
558,秋,qiū,"autumn, fall; year",2
559,末,mò,"final, last, end; insignificant",2
560,喊,hǎn,"shout, call out, yell; howl; cry",2
561,蓝,lán,blue; indigo plant; surname,2
562,哭,kū,"weep, cry, wail",2
563,懂,dǒng,"understand, comprehend",2
564,墙,qiáng,wall,2
565,惯,guàn,"habit, custom; habitually, usual",2
566,鸟,niǎo,bird; KangXi radical 196,2
567,咱,zán,"we, us",2
568,狗,gǒu,"dog, canis familiaris",2
569,宜,yí,"suitable, right, fitting, proper",2
570,腿,tuǐ,"legs, thighs",2
571,碰,pèng,"collide, bump into",2
572,辆,liàng,numerary adjunct for vehicles,2
573,冬,dōng,"winter, 11th lunar month",2
574,晨,chén,"early morning, daybreak",2
575,吹,chuī,"blow; puff; brag, boast",2
576,租,zū,"rent, lease; rental; tax",2
577,骑,qí,ride horseback; mount; cavalry,2
578,爬,pá,"crawl, creep; climb; scramble",2
579,舒,shū,"open up, unfold, stretch out; comfortable, easy",2
580,餐,cān,"eat, dine; meal; food",2
581,挺,tǐng,"to stand upright, straighten; rigid",2
582,颜,yán,"face, facial appearance",2
583,绩,jī,spin; achievements,2
584,漂,piào,"float, drift; tossed about",2
585,凉,liáng,"cool, cold; disheartened",2
586,脏,zàng,"internal organs, viscera; dirty",2
587,鞋,xié,"shoes, footwear in general",2
588,椅,yǐ,"chair, seat",2
589,猫,māo,cat,2
590,瓶,píng,"jug, pitcher, vase, jar, bottle",2
591,疼,téng,"aches, pains; be fond of; love",2
592,斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",2
593,碗,wǎn,"bowl, small dish",2
594,晴,qíng,"clear weather, fine weather",2
595,喂,wèi,interjection to call attention,2
596,饱,bǎo,to eat till full; satisfied,2
597,篮,lán,basket,2
598,澡,zǎo,"wash, bathe",2
599,筷,kuài,chopsticks,2
600,饺,jiǎo,stuffed dumplings,2
601,种,zhǒng,"seed; race, breed; to plant",3
602,把,bǎ,"hold, take; guard; regard as",3
603,民,mín,"people, subjects, citizens",3
604,此,cǐ,"this, these; in this case, then",3
605,性,xìng,"nature, character, sex",3
606,将,jiāng,"will, going to, future; general",3
607,并,bìng,"and, further, more, also, together with; to combine",3
608,美,měi,"beautiful, pretty; pleasing",3
609,被,bèi,"quilt, by, (indicates passive-voice clauses)",3
610,产,chǎn,"give birth, bring forth, produce",3
611,制,zhì,system; establish; overpower,3
612,代,dài,"replace, replacement (of person or generation); era, generation",3
613,内,nèi,inside,3
614,化,huà,"change, convert, reform; -ize",3
615,世,shì,generation; world; era,3
616,任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",3
617,立,lì,"stand; let stand; establish, set",3
618,及,jí,extend; reach; come up to; and,3
619,员,yuán,"member; personnel, staff member",3
620,解,jiě,"loosen, unfasten, untie; explain",3
621,义,yì,"right conduct, righteousness",3
